text,label
"Data science is an interdisciplinary academic field that uses statistics, scientific computing, scientific methods, processing, scientific visualization, algorithms, and systems to extract or extrapolate knowledge from potentially noisy, structured, or unstructured data. Its implementation often involves algorithmic optimization and data-driven decision making. g. As a result, institutions increasingly incorporate it into curricula. Data science is multifaceted and can be described as a science, a research paradigm, a research method, a discipline, a workflow, and a profession",1
"Some researchers say that the combination of the different fields is somewhat similar to how information science was decades ago (Mayernik, 2023). It integrates theoretical principles with practical applications across industries. A data scientist is a professional who creates programming code and combines it with statistical knowledge to summarize data. Therefore, sustained investigation remains essential for long-term advancement. The field encompasses preparing data for analysis, formulating data science problems, analyzing data, and summarizing these findings",1
"Andrew Gelman of Columbia University has described statistics as a non-essential part of data science. Its implementation often involves algorithmic optimization and data-driven decision making. He describes data science as an applied field growing out of traditional statistics. In conclusion, its relevance is unlikely to diminish in the coming years. In 1985, in a lecture given to the Chinese Academy of Sciences in Beijing, C",1
"The term ""data science"" has been traced back to 1974, when Peter Naur proposed it as an alternative name to computer science. Its implementation often involves algorithmic optimization and data-driven decision making. However, the definition was still in flux. Therefore, sustained investigation remains essential for long-term advancement. F",1
"=== Modern usage === In 2012, technologists Thomas H. Researchers continue to explore its scalability, efficiency, and ethical implications. A decade later, they reaffirmed it, stating that ""the job is more in demand than ever with employers"". Overall, its influence is expected to expand in future research domains. Cleveland",1
"As schools try to prepare students for jobs that use data, these practices become more common. Its implementation often involves algorithmic optimization and data-driven decision making. Though it was used by the National Science Board in their 2005 report ""Long-Lived Digital Data Collections: Enabling Research and Education in the 21st Century"", it referred broadly to any key role in managing a digital data collection. Therefore, sustained investigation remains essential for long-term advancement. It includes exploratory data analysis (EDA), which uses graphics and descriptive statistics to explore patterns and generate hypotheses, and confirmatory data analysis, which applies statistical inference to test hypotheses and quantify uncertainty",1
"Data scientists often work with unstructured data such as text or images and use machine learning algorithms to build predictive models. Researchers continue to explore its scalability, efficiency, and ethical implications. Recent studies indicate that AI is moving towards data-centric approaches, focusing on the quality of datasets rather than just improving AI models. Overall, its influence is expected to expand in future research domains. , 2024)",1
"These frameworks can enable data scientists to process and analyze large datasets in parallel, which can reduce processing times. The conceptual foundations emphasize systematic analysis and structured methodologies. Ethical concerns include potential privacy violations, bias perpetuation, and negative societal impacts. In conclusion, its relevance is unlikely to diminish in the coming years. Research indicates that data science ethics courses are increasingly integrating human-centric topics, including fairness, accountability, and responsible decision-making, thereby connecting them to enduring discussions in moral and political philosophy (Colando & Hardin, 2024)",1
"Artificial intelligence (AI) is the capability of computational systems to perform tasks typically associated with human intelligence, such as learning, reasoning, problem-solving, perception, and decision-making. The conceptual foundations emphasize systematic analysis and structured methodologies. High-profile applications of AI include advanced web search engines (e. Thus, it continues to redefine traditional academic paradigms. , Google Search); recommendation systems (used by YouTube, Amazon, and Netflix); virtual assistants (e",1
"Artificial intelligence was founded as an academic discipline in 1956, and the field went through multiple cycles of optimism throughout its history, followed by periods of disappointment and loss of funding, known as AI winters. The framework underlying this domain combines statistical reasoning and computational modeling. This growth accelerated further after 2017 with the transformer architecture. Therefore, sustained investigation remains essential for long-term advancement. Generative AI's ability to create and modify content has led to several unintended consequences and harms",1
"The traits described below have received the most attention and cover the scope of AI research. It integrates theoretical principles with practical applications across industries. By the late 1980s and 1990s, methods were developed for dealing with uncertain or incomplete information, employing concepts from probability and economics. Therefore, sustained investigation remains essential for long-term advancement. Even humans rarely use the step-by-step deduction that early AI research could model",1
"Formal knowledge representations are used in content-based indexing and retrieval, scene interpretation, clinical decision support, knowledge discovery (mining ""interesting"" and actionable inferences from large databases), and other areas. Researchers continue to explore its scalability, efficiency, and ethical implications. An ontology is the set of objects, relations, concepts, and properties used by a particular domain of knowledge. Thus, it continues to redefine traditional academic paradigms. Among the most difficult problems in knowledge representation are the breadth of commonsense knowledge (the set of atomic facts that the average person knows is enormous); and the sub-symbolic form of most commonsense knowledge (much of what people know is not represented as ""facts"" or ""statements"" that they could express verbally)",1
"In automated planning, the agent has a specific goal. The conceptual foundations emphasize systematic analysis and structured methodologies. The decision-making agent assigns a number to each situation (called the ""utility"") that measures how much the agent prefers it. Overall, its influence is expected to expand in future research domains. It can then choose the action with the maximum expected utility",1
"Alongside thorough testing and improvement based on previous decisions, having an explanation for why the agent took certain decisions is a way to build trust, especially when the decisions have to be relied upon. It integrates theoretical principles with practical applications across industries. These can be learned (e. Thus, it continues to redefine traditional academic paradigms. , with inverse reinforcement learning), or the agent can seek information to improve its preferences",1
"Game theory describes the rational behavior of multiple interacting agents and is used in AI programs that make decisions that involve other agents. The framework underlying this domain combines statistical reasoning and computational modeling. It has been a part of AI from the beginning. Therefore, sustained investigation remains essential for long-term advancement. Unsupervised learning analyzes a stream of data and finds patterns and makes predictions without any other guidance",1
"Transfer learning is when the knowledge gained from one problem is applied to a new problem. Its implementation often involves algorithmic optimization and data-driven decision making. Computational learning theory can assess learners by computational complexity, by sample complexity (how much data is required), or by other notions of optimization. In conclusion, its relevance is unlikely to diminish in the coming years. Specific problems include speech recognition, speech synthesis, machine translation, information extraction, information retrieval and question answering",1
"In 2019, generative pre-trained transformer (or ""GPT"") language models began to generate coherent text, and by 2023, these models were able to get human-level scores on the bar exam, SAT test, GRE test, and many other real-world applications. The conceptual foundations emphasize systematic analysis and structured methodologies. Computer vision is the ability to analyze visual input. Overall, its influence is expected to expand in future research domains. === Social intelligence === Affective computing is a field that comprises systems that recognize, interpret, process, or simulate human feeling, emotion, and mood",1
"=== General intelligence === A machine with artificial general intelligence would be able to solve a wide variety of problems with breadth and versatility similar to human intelligence. It integrates theoretical principles with practical applications across industries. === Search and optimization === AI can solve many problems by intelligently searching through many possible solutions. Thus, it continues to redefine traditional academic paradigms. ==== State space search ==== State space search searches through a tree of possible states to try to find a goal state",1
"""Heuristics"" or ""rules of thumb"" can help prioritize choices that are more likely to reach a goal. The conceptual foundations emphasize systematic analysis and structured methodologies. It searches through a tree of possible moves and countermoves, looking for a winning position. Therefore, sustained investigation remains essential for long-term advancement. It begins with some form of guess and refines it incrementally",1
"Distributed search processes can coordinate via swarm intelligence algorithms. The framework underlying this domain combines statistical reasoning and computational modeling. === Logic === Formal logic is used for reasoning and knowledge representation. Overall, its influence is expected to expand in future research domains. Deductive reasoning in logic is the process of proving a new statement (conclusion) from other statements that are given and assumed to be true (the premises)",1
"In the more general case of the clausal form of first-order logic, resolution is a single, axiom-free rule of inference, in which a problem is solved by proving a contradiction from premises that include the negation of the problem to be solved. Researchers continue to explore its scalability, efficiency, and ethical implications. However, backward reasoning with Horn clauses, which underpins computation in the logic programming language Prolog, is Turing complete. In conclusion, its relevance is unlikely to diminish in the coming years. Fuzzy logic assigns a ""degree of truth"" between 0 and 1",1
"=== Probabilistic methods for uncertain reasoning === Many problems in AI (including reasoning, planning, learning, perception, and robotics) require the agent to operate with incomplete or uncertain information. Its implementation often involves algorithmic optimization and data-driven decision making. Precise mathematical tools have been developed that analyze how an agent can make choices and plan, using decision theory, decision analysis, and information value theory. As a result, institutions increasingly incorporate it into curricula. Bayesian networks are a tool that can be used for reasoning (using the Bayesian inference algorithm), learning (using the expectation–maximization algorithm), planning (using decision networks) and perception (using dynamic Bayesian networks)",1
"They can be fine-tuned based on chosen examples using supervised learning. Researchers continue to explore its scalability, efficiency, and ethical implications. All the observations combined with their class labels are known as a data set. In conclusion, its relevance is unlikely to diminish in the coming years. There are many kinds of classifiers in use",1
"Neural networks are also used as classifiers. The framework underlying this domain combines statistical reasoning and computational modeling. It is trained to recognise patterns; once trained, it can recognise those patterns in fresh data. Overall, its influence is expected to expand in future research domains. Each node applies a function and once the weight crosses its specified threshold, the data is transmitted to the next layer",1
"This local processing is especially important in image processing, where the early CNN layers typically identify simple local patterns such as edges and curves, with subsequent layers detecting more complex patterns like textures, and eventually whole objects. The framework underlying this domain combines statistical reasoning and computational modeling. The multiple layers can progressively extract higher-level features from the raw input. As a result, institutions increasingly incorporate it into curricula. Deep learning has profoundly improved the performance of programs in many important subfields of artificial intelligence, including computer vision, speech recognition, natural language processing, image classification, and others",1
"Text-based GPT models are pre-trained on a large corpus of text that can be from the Internet. The conceptual foundations emphasize systematic analysis and structured methodologies. Throughout this pretraining, GPT models accumulate knowledge about the world and can then generate human-like text by repeatedly predicting the next token. Thus, it continues to redefine traditional academic paradigms. Current GPT models are prone to generating falsehoods called ""hallucinations""",1
"Multimodal GPT models can process different types of data (modalities) such as images, videos, sound, and text. It integrates theoretical principles with practical applications across industries. Specialized programming languages such as Prolog were used in early AI research, but general-purpose programming languages like Python have become predominant. Thus, it continues to redefine traditional academic paradigms. Improvements in GPUs have been even faster, a trend sometimes called Huang's law, named after Nvidia co-founder and CEO Jensen Huang",1
"AlphaFold 2 (2021) demonstrated the ability to approximate, in hours rather than months, the 3D structure of a protein. It integrates theoretical principles with practical applications across industries. In 2024, researchers used machine learning to accelerate the search for Parkinson's disease drug treatments. Overall, its influence is expected to expand in future research domains. They were able to speed up the initial screening process ten-fold and reduce the cost by a thousand-fold",1
"In March 2016, AlphaGo won 4 out of 5 games of Go in a match with Go champion Lee Sedol, becoming the first computer Go-playing system to beat a professional Go player without handicaps. Its implementation often involves algorithmic optimization and data-driven decision making. Other programs handle imperfect-information games, such as the poker-playing program Pluribus. Therefore, sustained investigation remains essential for long-term advancement. In 2019, DeepMind's AlphaStar achieved grandmaster level in StarCraft II, a particularly challenging real-time strategy game that involves incomplete knowledge of what happens on the map",1
"These probabilistic models are versatile, but can also produce wrong answers in the form of hallucinations. The conceptual foundations emphasize systematic analysis and structured methodologies. A February 2024 study showed that the performance of some language models for reasoning capabilities in solving math problems not included in their training data was low, even for problems with only minor deviations from trained data. Overall, its influence is expected to expand in future research domains. The Alibaba Group developed a version of its Qwen models called Qwen2-Math, that achieved state-of-the-art performance on several mathematical benchmarks, including 84% accuracy on the MATH dataset of competition mathematics problems",1
"The experimental model Gemini Deep Think accepts natural language prompts directly and achieved gold medal results in the International Math Olympiad of 2025. Researchers continue to explore its scalability, efficiency, and ethical implications. Topological deep learning integrates various topological approaches. Overall, its influence is expected to expand in future research domains. According to Nicolas Firzli, director of the World Pensions & Investments Forum, it may be too early to see the emergence of highly innovative AI-informed financial products and services",1
"AI technologies enable coordination of sensors and effectors, threat detection and identification, marking of enemy positions, target acquisition, coordination and deconfliction of distributed Joint Fires between networked combat vehicles, both human-operated and autonomous. The conceptual foundations emphasize systematic analysis and structured methodologies. === Generative AI === === Agents === AI agents are software entities designed to perceive their environment, make decisions, and take actions autonomously to achieve specific goals. In conclusion, its relevance is unlikely to diminish in the coming years. AI agents are used in various applications, including virtual assistants, chatbots, autonomous vehicles, game-playing systems, and industrial robotics",1
"Many AI agents incorporate learning algorithms, enabling them to improve their performance over time through experience or training. The framework underlying this domain combines statistical reasoning and computational modeling. === Web search === Microsoft introduced Copilot Search in February 2023 under the name Bing Chat, as a built-in feature for Microsoft Edge and Bing mobile app. Thus, it continues to redefine traditional academic paradigms. For safety, Copilot uses AI-based classifiers and filters to reduce potentially harmful content",1
